job_title,company_size,company_industry,country,remote_type,experience_level,years_experience,education_level,skills_python,skills_sql,skills_ml,skills_deep_learning,skills_cloud,job_posting_month,job_posting_year,hiring_urgency,job_openings,salary
0,3,4,1,2,2,2,1,0,0,0,1,0,6,2024,1,4,158322
5,1,5,0,0,1,0,0,1,1,1,0,1,11,2026,0,9,163666
5,1,5,2,1,1,14,1,1,0,1,0,1,3,2026,0,9,158556
1,3,3,2,2,1,9,1,0,1,0,1,1,3,2025,0,7,95775
4,1,3,2,0,1,5,1,1,1,1,0,0,12,2021,1,2,111873
5,2,5,0,1,2,6,1,1,0,1,1,0,5,2021,0,2,165878
4,1,5,2,2,0,14,0,0,0,0,0,0,8,2026,0,8,67027
2,0,2,5,1,0,4,2,1,0,1,0,1,8,2023,0,7,78392
5,3,1,1,1,1,2,2,0,0,0,0,1,5,2021,1,3,123840
3,0,4,6,1,2,9,1,1,0,0,0,1,4,2024,0,7,112408
0,2,0,4,1,0,10,2,0,1,0,1,0,12,2021,2,3,103157
5,3,1,6,2,1,13,1,0,1,1,0,1,1,2020,0,9,142392
2,2,2,2,2,0,6,2,1,1,0,0,1,11,2025,1,5,55663
4,1,2,0,2,1,6,1,1,0,0,0,0,1,2021,0,8,90698
5,1,1,4,2,0,2,0,1,1,0,1,1,7,2023,1,6,135535
2,1,4,6,1,1,3,0,1,1,1,0,0,11,2025,1,1,114339
1,0,5,2,1,2,2,1,0,0,1,1,0,1,2026,0,4,133680
5,1,2,5,2,0,6,1,0,1,1,0,0,1,2025,0,9,122049
0,3,0,5,1,0,2,0,0,1,1,0,1,8,2020,0,8,116197
0,0,2,2,0,1,13,2,0,0,0,0,1,3,2024,2,2,122869
4,1,2,2,2,1,3,0,1,1,1,0,0,1,2023,1,1,109735
2,0,1,4,0,1,5,1,1,0,0,1,1,1,2023,1,2,99893
4,3,5,1,1,2,0,0,1,1,1,0,1,8,2024,1,5,121060
4,2,0,4,1,0,12,2,0,1,0,0,1,2,2020,2,3,63319
5,0,1,3,1,1,14,1,1,0,1,0,0,8,2020,2,2,125784
4,0,1,4,2,1,9,2,0,1,0,1,0,4,2024,0,7,92992
0,3,1,0,1,2,11,2,1,1,1,0,0,9,2021,2,6,154146
3,3,1,3,0,1,3,0,1,1,0,1,0,12,2023,1,5,88124
0,3,5,0,2,1,2,2,0,1,1,1,0,10,2025,0,2,140635
2,3,4,2,0,2,4,1,1,0,1,0,0,5,2020,0,9,111931
5,2,2,4,0,1,8,1,1,0,0,0,1,5,2025,0,7,129662
1,0,4,2,0,2,5,0,0,0,1,1,0,4,2024,0,1,127141
0,1,3,3,2,2,13,0,1,0,0,1,1,4,2026,2,6,182849
5,2,4,3,2,0,3,0,1,1,1,0,1,11,2023,1,1,119087
0,2,4,2,2,0,2,0,0,0,1,0,0,11,2023,1,1,103913
1,3,5,4,0,1,2,0,1,0,0,0,1,10,2021,0,8,86748
5,2,3,5,2,2,4,1,1,0,0,0,1,5,2024,1,4,145728
4,1,3,1,2,2,2,0,1,1,1,0,0,5,2023,0,8,136806
4,0,0,4,2,2,13,0,0,0,1,1,1,11,2022,0,9,136365
4,1,5,1,2,2,6,0,1,1,0,1,1,5,2024,1,3,145486
2,1,2,2,1,0,6,0,1,0,0,0,0,10,2024,0,7,71541
2,0,0,5,1,1,11,2,0,1,1,1,0,8,2021,0,6,101542
4,2,4,3,0,0,4,0,1,0,1,1,0,4,2020,0,1,76365
4,3,5,2,0,2,12,2,1,1,0,0,1,2,2023,2,3,109268
3,2,5,2,2,2,6,0,0,0,0,1,1,12,2020,0,9,121214
4,1,2,0,2,1,11,1,0,1,0,0,0,6,2024,2,5,94175
2,1,0,2,1,2,1,0,0,0,0,1,0,6,2025,1,1,139588
2,1,2,5,0,1,7,0,1,1,1,1,1,12,2024,0,2,130539
4,1,4,0,1,0,0,0,0,1,0,1,1,6,2021,1,3,93324
2,1,0,4,2,1,7,1,1,1,0,0,0,1,2025,0,7,91015
4,2,2,5,2,1,8,2,1,0,0,0,0,9,2022,2,1,71633
4,3,1,2,2,0,4,2,1,0,0,0,0,10,2022,1,5,49809
4,3,1,6,0,0,12,2,0,1,1,0,0,8,2026,0,8,63419
5,2,3,0,0,2,1,2,1,0,1,1,0,7,2026,0,9,171544
1,3,1,3,1,2,5,2,1,1,1,1,1,11,2022,0,2,143017
5,1,2,0,2,2,6,1,1,0,0,0,0,8,2020,1,4,155137
5,3,5,2,2,1,4,1,1,0,1,0,0,9,2026,1,3,131254
2,2,5,2,2,2,10,2,0,1,1,0,1,5,2024,2,3,127570
5,1,3,1,0,0,0,1,0,0,1,1,1,11,2020,0,2,154945
5,3,2,0,1,1,14,2,1,0,0,1,1,4,2026,2,1,136276
3,2,3,2,1,1,12,1,1,1,0,1,0,7,2025,0,7,90122
2,0,5,1,0,1,2,1,0,0,1,0,0,7,2020,1,5,93905
4,0,1,3,0,0,12,0,1,0,1,1,0,4,2026,0,9,84361
3,2,2,2,1,1,4,0,1,1,1,1,1,6,2024,0,8,110876
4,3,0,0,2,1,6,1,1,1,1,0,1,7,2022,0,8,104352
2,0,0,2,1,1,3,1,1,0,1,0,1,6,2022,1,6,97551
3,3,3,4,1,1,12,2,1,0,1,1,1,1,2023,0,4,118915
4,1,2,3,0,1,13,0,0,0,1,0,0,6,2021,2,3,108744
5,3,3,2,0,0,3,1,0,0,0,0,0,8,2025,0,9,86994
2,2,2,1,0,1,4,1,1,0,0,1,1,1,2025,1,3,104762
0,1,0,5,2,0,11,1,1,0,0,0,0,10,2025,2,3,112546
0,3,0,3,2,1,7,2,1,1,0,0,1,1,2020,1,1,125142
4,3,3,0,2,2,2,2,1,1,0,0,0,4,2026,0,8,100567
1,3,5,0,1,2,5,0,0,0,0,0,0,4,2025,0,7,97336
5,2,0,5,0,0,5,1,0,0,0,1,0,8,2024,0,8,107863
1,0,5,2,2,1,14,2,0,0,1,1,1,11,2025,0,5,115779
5,1,1,0,1,2,13,1,0,1,1,0,1,1,2026,2,2,180984
0,0,5,2,2,0,9,2,0,1,0,1,0,8,2020,2,6,104146
3,0,2,0,2,0,13,1,1,1,0,0,0,3,2026,2,6,49662
1,0,2,1,2,1,4,0,1,0,0,0,1,11,2025,0,9,81625
5,0,3,5,0,2,10,0,0,1,0,0,1,4,2025,0,8,146990
1,1,2,6,2,2,5,2,1,1,1,0,0,4,2020,0,7,134944
4,1,1,0,1,0,6,0,0,1,0,1,0,8,2022,1,3,88058
3,1,1,1,2,0,13,0,1,1,0,1,0,12,2020,2,3,86645
5,2,1,5,1,0,6,0,0,0,1,1,1,12,2020,0,3,131305
0,1,3,4,2,0,6,0,0,1,0,0,0,9,2026,0,8,112221
1,0,4,6,1,1,7,2,1,1,1,1,0,5,2025,0,4,105619
1,2,3,4,0,2,6,0,0,0,1,0,0,12,2021,1,4,111308
5,3,0,2,1,1,1,2,0,0,0,1,1,6,2025,1,5,135804
4,2,0,2,1,1,11,1,1,0,1,1,1,1,2021,0,7,114223
2,3,1,6,0,0,6,0,0,1,1,0,1,10,2024,1,4,76809
1,2,0,5,0,1,9,0,1,0,1,1,0,10,2023,0,5,107141
1,2,1,1,1,0,5,2,0,1,1,1,0,10,2024,0,9,83646
4,2,0,2,0,1,1,1,1,1,0,0,0,10,2024,1,5,75490
1,0,4,2,2,2,7,2,0,1,1,0,0,6,2024,0,8,114853
4,2,5,4,1,2,0,2,1,0,0,0,1,2,2024,0,9,105153
4,3,2,6,2,0,7,2,1,0,0,0,0,12,2023,1,2,46252
2,2,1,3,1,0,10,2,0,0,0,1,0,12,2025,0,7,67982
2,1,0,6,1,0,5,1,1,0,1,0,1,10,2026,0,9,98044
5,1,2,4,0,0,9,1,0,1,0,0,0,2,2022,0,9,113007
1,2,1,2,1,2,10,1,1,0,0,1,0,12,2023,0,8,117138
1,2,4,1,1,1,6,2,1,0,0,1,0,6,2020,1,4,90468
1,2,2,1,0,1,6,1,0,1,1,1,0,2,2022,0,7,109996
2,0,1,2,2,1,12,0,1,0,1,0,1,9,2021,0,8,96771
3,3,5,1,2,1,2,0,0,1,1,1,1,5,2020,0,4,110145
4,3,1,4,2,2,8,0,1,1,1,0,1,12,2025,2,5,129130
3,1,4,0,2,1,6,0,1,1,0,1,1,3,2024,1,6,124076
3,2,4,3,2,1,0,0,1,0,1,1,0,7,2020,0,5,108245
4,0,5,3,2,0,9,2,0,1,1,1,0,3,2025,0,8,83194
1,1,0,4,2,0,4,1,1,0,0,1,0,9,2021,0,9,81218
0,2,2,4,2,0,10,2,1,1,1,0,1,5,2021,0,8,115370
5,2,0,2,2,0,0,0,1,1,0,1,1,3,2021,1,3,112745
2,3,0,6,0,2,10,0,0,1,0,0,0,10,2023,0,9,104908
2,2,5,4,2,2,9,0,0,0,0,0,1,7,2026,2,5,108741
5,1,3,0,2,0,1,2,1,0,1,0,0,8,2026,0,9,122064
5,1,0,5,0,2,6,1,1,0,1,1,0,6,2023,0,5,190084
0,1,5,3,1,0,0,1,1,1,0,1,1,2,2025,0,8,136353
1,1,5,5,1,0,12,2,0,0,1,0,0,2,2024,2,3,89645
0,3,4,1,2,2,6,2,0,0,0,1,1,6,2022,1,2,163155
2,0,2,0,2,0,4,2,0,1,1,0,0,1,2021,1,5,65626
0,2,3,1,1,0,7,0,1,1,0,1,1,9,2020,0,8,115179
1,3,4,0,0,2,12,2,1,1,0,1,1,9,2025,2,3,127725
3,0,2,0,2,1,11,0,0,1,1,0,0,8,2022,2,2,90463
1,3,0,3,0,1,14,1,0,1,1,0,0,6,2020,0,9,87043
2,2,4,6,2,0,14,1,1,1,1,1,1,8,2021,0,1,93905
0,3,3,6,2,0,13,0,0,0,1,1,1,10,2025,0,7,132014
5,2,3,3,1,0,12,2,0,0,1,0,1,9,2021,0,9,119631
0,1,3,2,0,1,10,2,0,0,0,1,1,10,2026,2,4,155021
2,0,2,2,0,1,1,2,1,1,0,1,0,10,2022,0,9,86266
3,1,0,1,1,0,2,2,1,1,1,1,0,8,2020,0,6,99644
2,0,5,3,1,2,12,0,1,0,0,0,0,5,2026,2,1,102005
5,3,5,1,0,1,2,0,1,0,1,1,0,4,2021,0,2,145631
5,1,1,4,0,2,9,2,1,0,1,0,0,1,2022,2,2,172958
5,1,5,0,1,1,13,1,1,0,0,0,1,6,2023,0,9,142365
1,0,1,4,2,1,5,2,0,0,0,0,1,5,2026,1,2,89444
4,1,5,2,2,2,14,2,0,1,0,1,1,5,2023,0,9,149472
2,1,2,6,0,0,4,2,0,0,1,0,0,12,2023,1,1,89847
3,1,4,1,0,1,8,1,0,0,1,1,0,3,2025,0,1,126262
1,3,4,1,2,0,13,2,1,1,1,0,1,11,2025,0,8,75370
5,3,3,1,2,2,7,2,0,0,1,0,1,4,2021,1,6,166294
5,1,3,1,2,2,5,0,0,0,1,0,1,10,2022,1,1,185238
5,2,3,3,2,1,7,2,0,1,0,1,0,3,2026,1,4,128072
3,3,0,6,0,1,1,1,1,1,0,0,0,9,2024,0,9,75208
1,0,2,5,0,0,13,1,1,1,0,1,1,7,2022,2,2,71000
1,0,2,0,0,2,4,0,0,0,1,1,0,9,2020,0,5,127875
4,1,2,5,0,1,2,2,1,1,1,1,1,5,2021,0,9,139218
5,2,5,1,2,1,11,0,0,1,1,0,0,7,2025,2,4,133234
3,2,5,5,1,0,6,0,0,0,1,0,0,3,2026,0,9,68906
0,3,0,0,1,1,12,1,1,1,0,1,1,10,2023,2,3,142311
3,2,3,6,2,1,13,0,0,0,0,1,1,7,2026,0,7,102052
4,2,0,3,0,2,0,1,1,1,0,1,0,5,2025,0,7,117285
0,3,3,6,1,1,8,1,0,1,1,1,1,11,2024,0,1,153225
0,2,4,2,1,1,1,0,0,1,1,0,0,3,2023,1,2,134776
5,3,0,6,0,0,2,2,1,0,1,0,1,9,2025,0,9,111100
4,2,4,4,2,1,9,2,1,0,0,0,0,3,2023,0,7,72349
5,2,3,4,2,1,0,0,1,0,0,1,0,7,2023,1,6,127472
1,3,5,3,2,2,7,0,1,1,1,0,1,6,2021,1,3,128533
0,2,1,6,1,1,13,2,1,1,1,1,1,9,2026,0,4,153374
5,2,1,6,1,0,13,2,0,0,1,0,1,4,2023,2,6,119732
4,3,1,1,0,1,7,1,0,1,0,0,1,2,2024,1,6,89715
3,1,2,4,0,0,8,1,0,1,0,0,0,3,2023,2,1,70962
3,0,3,2,0,2,2,1,1,0,0,1,1,10,2023,1,5,128435
4,2,1,3,2,2,7,1,1,1,1,1,0,9,2026,0,7,132693
1,0,3,5,0,2,13,1,1,1,1,1,0,6,2020,0,2,133984
0,0,1,6,0,1,12,1,1,0,0,0,1,5,2021,0,9,125772
1,2,5,6,1,0,14,0,1,1,1,0,1,11,2025,2,6,72719
5,1,4,4,1,0,1,2,1,0,1,1,0,9,2026,0,2,140175
2,3,4,1,2,1,2,1,0,1,1,1,0,8,2020,0,4,101638
1,0,5,2,2,1,1,2,0,0,1,0,1,7,2024,1,3,96549
1,2,0,0,1,1,10,1,0,1,1,0,0,8,2026,0,7,92993
1,3,0,1,0,1,4,0,0,1,0,0,1,3,2020,1,4,88656
0,0,0,2,1,0,13,1,1,1,1,1,1,3,2020,0,2,129839
1,1,0,0,0,0,12,1,0,0,1,0,1,1,2021,0,9,98616
0,1,0,6,0,1,11,1,1,0,1,0,0,11,2025,2,2,145775
4,0,2,2,1,0,4,2,1,1,0,0,0,8,2020,0,8,49940
2,3,0,5,1,0,3,0,0,1,1,0,1,4,2026,1,4,79866
2,0,4,2,1,2,4,1,0,1,1,1,1,12,2020,0,6,141511
4,3,3,4,0,2,3,0,1,1,1,0,0,7,2025,0,9,118569
5,2,0,2,1,1,12,1,0,1,0,1,1,10,2026,2,2,143714
4,1,3,4,2,0,13,2,1,1,0,1,1,4,2024,2,4,92461
0,1,4,0,2,0,9,2,1,1,0,0,0,5,2024,0,9,112697
3,3,1,0,0,2,11,2,1,0,1,1,1,2,2021,0,9,142003
1,3,5,5,0,2,2,2,0,1,1,0,1,1,2022,1,5,121724
3,0,0,0,1,2,4,0,0,1,1,1,1,12,2024,0,8,141272
2,3,5,5,0,1,8,2,1,0,1,1,0,9,2023,0,2,102159
0,2,3,3,0,1,13,0,1,0,1,0,0,3,2026,2,4,127634
3,1,4,1,0,2,3,0,1,1,1,1,0,5,2025,0,5,152909
1,2,1,0,2,0,6,0,0,1,0,1,0,10,2026,0,8,64431
0,1,1,3,0,1,14,2,1,1,0,0,0,12,2025,2,3,130663
5,2,0,4,1,0,6,1,0,0,0,1,0,11,2023,1,4,101136
2,0,4,6,0,0,0,0,1,1,1,1,0,12,2022,0,6,77125
4,2,0,6,2,1,2,1,0,0,0,1,1,1,2022,1,6,97757
1,0,0,5,0,2,9,1,0,0,0,1,0,5,2021,2,4,112096
1,1,1,3,0,2,1,2,0,0,1,0,1,12,2023,1,6,140685
0,3,5,6,2,1,13,1,1,1,0,0,0,6,2026,0,8,110905
5,3,0,0,2,0,3,2,1,1,0,0,0,1,2022,1,4,85689
3,0,3,5,1,2,9,0,1,1,1,1,1,10,2024,0,9,139260
5,3,4,4,0,0,2,0,0,0,0,1,1,9,2020,0,9,116588
5,3,5,4,0,0,5,2,0,0,0,1,0,10,2022,1,2,106171
4,0,1,6,2,1,13,1,1,1,0,1,0,6,2020,2,5,86537
5,2,3,5,2,2,11,1,1,0,1,1,1,3,2026,0,3,176727
4,1,0,2,0,2,3,1,1,0,1,1,0,11,2024,0,6,145781
4,1,3,2,0,0,1,2,0,1,1,0,1,4,2022,1,1,91577
3,0,5,4,2,2,10,1,0,0,0,0,1,12,2023,0,8,113087
4,1,0,1,1,0,14,2,1,1,1,1,1,12,2021,0,4,108525
2,3,4,5,0,2,0,1,1,0,0,1,1,11,2024,1,5,120687
0,2,1,0,0,2,11,0,0,1,0,1,0,5,2025,0,7,155108
1,2,5,2,0,1,10,2,0,1,0,0,0,4,2021,2,3,73864
5,2,1,1,1,0,8,0,1,1,1,1,0,12,2023,0,9,120569
4,3,3,0,1,1,4,1,1,1,1,1,0,4,2021,0,5,109890
4,0,3,3,1,0,5,2,0,0,1,0,1,2,2021,1,3,78915
2,1,5,4,1,1,3,0,1,0,1,0,0,10,2020,1,3,111659
3,0,0,5,2,0,13,0,1,1,1,1,0,3,2023,0,7,75392
1,0,3,5,2,1,10,2,0,0,0,1,1,4,2024,2,6,95141
3,0,4,0,1,1,3,2,0,0,1,1,1,6,2020,0,6,111750
2,2,4,5,0,2,11,0,1,0,0,1,0,3,2026,0,9,111531
0,2,1,1,2,0,8,1,1,0,1,1,0,9,2022,0,5,116762
3,2,2,2,1,1,12,0,1,1,0,1,0,1,2025,0,7,92183
0,0,4,0,0,0,4,2,0,1,1,0,0,9,2024,1,1,107156
4,1,4,6,0,0,6,0,0,1,1,1,1,6,2024,0,9,111748
2,2,5,6,2,2,6,2,1,1,1,1,1,8,2021,0,3,135193
2,0,2,6,1,1,5,1,0,1,0,0,1,11,2022,1,6,88921
0,2,2,6,2,0,2,0,1,1,0,1,0,6,2020,1,4,105808
3,3,1,5,2,1,4,2,0,0,1,1,1,9,2024,0,6,116376
4,3,2,1,1,2,6,2,0,0,0,1,0,1,2023,1,3,115002
2,1,0,1,2,0,12,0,1,0,1,1,0,7,2025,0,8,103365
1,0,2,4,0,1,3,1,1,0,0,1,1,12,2023,1,5,96774
4,3,5,3,1,2,6,0,1,0,0,0,1,11,2024,1,2,106842
5,2,3,5,0,0,6,0,1,0,1,1,0,6,2022,0,5,116628
3,1,3,6,2,1,10,2,0,0,0,0,1,1,2026,2,5,109428
4,0,2,0,2,1,1,2,1,0,0,0,0,12,2021,1,5,73259
2,0,5,2,1,0,6,2,1,0,1,1,1,4,2023,0,9,86141
4,1,3,2,2,2,7,0,0,0,0,1,0,3,2022,1,2,132011
2,2,4,6,2,1,7,0,1,1,1,1,1,4,2020,0,6,111054
1,2,0,0,1,2,12,2,1,1,0,1,1,11,2024,2,3,122309
1,2,3,1,0,0,9,0,1,0,0,0,1,12,2020,2,4,55785
